,Inode (file unique ID),KB Allocated,File Size,Creation Time in days from today,Change Time in days from today,Modification time in days from today,Acces time in days from today,GID numeric ID for the group owner of the file,UID numeric ID for the owner of the file
805,100664433,0,1671,1447,1447,2194,1447,2170,753559
806,100664434,0,166,1447,1447,2194,1447,2170,753559
807,100664435,128,272259,1447,1447,2194,1447,2170,753559
808,100664436,64,23803,1447,1447,1902,1447,2010,841154
809,100664437,64,16159,1447,1447,1716,1447,2003,697349
810,100664438,64,7699,1447,1093,2143,1050,2022,500120
811,100664439,0,2906,1447,1447,1632,1447,2023,881083
812,100664440,64,12515,1447,1447,1819,1447,2019,638741
813,100664441,64,3947,1447,1447,1632,1447,2023,881083
814,100664442,0,366,1447,1447,3142,1447,2035,762231
815,100664443,256,228429,1447,1447,1900,1447,2010,841154
816,100664444,0,465,1447,1447,3142,1447,2035,762231
817,100664445,128,88020,1447,1447,3142,1447,2035,762231
818,100664446,128,84023,1447,1447,2961,1447,2392,831677
819,100664447,64,16654,1447,1447,1819,1447,2019,638741
820,100664448,0,686,1447,1447,2527,1447,2069,1000000092
821,100664449,0,3299,1447,1447,2219,1447,2170,753559
822,100664450,192,461248,1447,1447,1540,1447,2003,785573
823,100664451,64,208884,1447,1447,2525,1447,2069,1000000092
824,100664452,64,38776,1447,1447,2194,1447,2170,753559
825,100664453,0,0,1447,1447,1717,1510,2003,697349
826,100664454,384,701629,1447,1447,1717,1447,2003,697349
827,100664455,0,3229,1447,1447,1937,1447,2010,614955
828,100664456,128,81777,1447,1447,2961,1447,2392,831677
829,100664457,128,157779,1447,1447,3142,1447,2035,762231
830,100664458,0,222,1447,1093,2143,1050,2022,500120
831,100664459,0,3188,1447,1447,1937,1447,2010,614955
832,100664460,64,27312,1447,1093,2143,1050,2022,500120
833,100664462,448,1339872,1447,1447,1540,1447,2003,785573
834,100664463,0,92,1447,1447,1937,1447,2010,614955
835,100664464,64,32294,1447,1447,1819,1447,2019,638741
836,100664465,0,1037,1447,1447,1937,1447,2010,614955
837,100664467,0,681,1447,1447,1937,1447,2010,614955
838,100664468,64,31249,1447,1447,1632,1447,2023,881083
839,100664469,64,16159,1447,1447,1716,1447,2003,697349
840,100664471,0,410,1447,1447,3142,1447,2035,762231
841,100664472,64,5990,1447,1447,1937,1447,2010,614955
842,100664474,64,9747,1447,1447,3142,1447,2035,762231
843,100664476,0,2347,1447,1093,2143,1050,2022,500120
844,100664477,64,25348,1447,1447,1937,1447,2010,614955
845,100664478,64,18705,1447,1447,1819,1447,2019,638741
